的, 581858
是, 149304
在, 119275
一, 113236
有, 81794
了, 81367
不, 69865
我, 69130
個, 67430
也, 59640
這, 59355
他, 54188
就, 48749
人, 44942
與, 42852
上, 39682
都, 37093
中, 36019
和, 35974
而, 35648
說, 34006
對, 32382
為, 31818
之, 30598
以, 29930
要, 29024
我們, 27781
會, 27328
將, 27145
來, 25561
你, 25437
及, 25433
她, 24599
著, 23227
種, 22438
但, 21741
大, 21448
很, 21256
年, 20708
並, 20522
能, 20516
到, 20287
那, 20021
時, 19299
等, 18825
還, 18553
後, 18370
最, 18140
所, 18119
可以, 17850
沒有, 17764
地, 17601
兩, 17530
自己, 16887
或, 16608
被, 16272
又, 16230
台灣, 16169
可, 15954
各, 15911
他們, 15272
從, 15207
已, 14629
更, 14607
讓, 14409
得, 14357
好, 14078
因為, 13973
每, 13712
去, 13700
者, 13696
次, 13628
才, 13618
多, 13485
則, 13462
於, 13323
由, 13312
裡, 13295
下, 13224
卻, 13119
三, 12704
把, 12682
只, 12500
看, 12500
此, 12426
再, 12388
其, 12341
表示, 12250
問題, 11810
做, 11606
前, 10964
什麼, 10671
天, 10519
過, 10432
位, 10405
想, 10177
所以, 9897
因此, 9811
內, 9773
學生, 9756
社會, 9691
可能, 9593
新, 9590
工作, 9510
公司, 9418
如果, 9064
用, 8911
目前, 8897
小, 8830
家, 8664
像, 8619
元, 8564
但是, 8517
它, 8458
這些, 8300
認為, 8271
如, 8200
該, 8146
全, 8082
向, 7923
使, 7911
呢, 7803
美國, 7793
生活, 7665
時間, 7633
這樣, 7582
由於, 7508
研究, 7498
中國, 7483
政府, 7364
當, 7298
本, 7267
知道, 7133
開始, 7114
事, 7091
因, 7085
第一, 7041
現在, 7018
發展, 6957
世界, 6947
已經, 6947
至, 6878
許多, 6819
仍, 6768
希望, 6745
應, 6710
大學, 6697
不過, 6675
國家, 6640
外, 6589
幾, 6567
文化, 6565
高, 6530
使用, 6501
給, 6373
覺得, 6355
指出, 6344
二, 6315
活動, 6309
不同, 6273
四, 6239
跟, 6218
沒, 6111
雖然, 6098
日本, 6088
項, 6073
方式, 6070
成為, 6069
必須, 6063
時候, 6020
名, 5950
未, 5937
比, 5837
市場, 5818
進行, 5804
較, 5745
其他, 5638
關係, 5596
曾, 5595
發現, 5580
經濟, 5577
不能, 5549
無法, 5534
大陸, 5500
重要, 5494
大家, 5384
系統, 5366
對於, 5354
啊, 5342
教育, 5336
之後, 5319
以及, 5315
環境, 5305
孩子, 5208
無, 5208
正, 5204
一些, 5191
如何, 5177
學校, 5161
今年, 5152
同時, 5140
應該, 5096
另, 5068
地方, 5054
便, 5038
太, 5033
除了, 5013
中心, 5002
需要, 4969
心, 4955
提供, 4918
而且, 4898
不會, 4896
五, 4884
影響, 4876
歲, 4847
一樣, 4801
嗎, 4771
包括, 4768
發生, 4741
老師, 4737
吃, 4660
月, 4658
未來, 4641
起, 4626
即, 4623
還是, 4614
甚至, 4583
間, 4537
其中, 4536
們, 4535
看到, 4534
非常, 4522
比較, 4502
若, 4485
出現, 4447
就是, 4441
很多, 4418
方面, 4409
國, 4406
歷史, 4365
今天, 4363
造成, 4357
人員, 4327
先, 4327
國內, 4300
主要, 4298
網路, 4284
台北, 4282
一定, 4245
國際, 4214
最後, 4211
相當, 4207
特別, 4202
地區, 4198
其實, 4188
服務, 4176
設計, 4172
受, 4153
一般, 4120
要求, 4079
是否, 4059
可是, 4052
空間, 4049
自然, 4047
結果, 4007
決定, 3978
過去, 3975
分, 3963
亦, 3955
政治, 3936
電腦, 3885
道, 3870
企業, 3867
第二, 3862
愛, 3800
產品, 3788
令, 3773
所有, 3759
且, 3734
傳統, 3709
然後, 3699
一直, 3689
昨天, 3679
常, 3644
技術, 3622
藝術, 3621
約, 3617
問, 3610
場, 3606
見, 3600
不要, 3591
吧, 3581
資料, 3560
當時, 3555
生命, 3550
先生, 3534
點, 3533
提出, 3522
請, 3518
機會, 3511
那麼, 3497
只要, 3485
女性, 3478
代表, 3477
如此, 3474
之間, 3473
走, 3469
作品, 3463
話, 3460
管理, 3450
妳, 3444
民眾, 3414
去年, 3403
經驗, 3385
處理, 3383
任何, 3383
只是, 3383
單位, 3374
喜歡, 3374
參加, 3373
自, 3369
當然, 3366
非, 3362
十, 3361
書, 3350
增加, 3346
條, 3345
能力, 3341
相關, 3339
半, 3336
作, 3333
選擇, 3325
資訊, 3316
計畫, 3291
情況, 3290
件, 3288
完全, 3280
個人, 3270
接受, 3237
了解, 3234
怎麼, 3233
六, 3225
聽, 3217
處, 3206
連, 3205
真, 3194
完成, 3189
業者, 3185
時代, 3171
以上, 3168
另外, 3155
朋友, 3148
人類, 3084
臺灣, 3074
過程, 3058
有關, 3057
學習, 3056
帶, 3050
手, 3046
身, 3041
找, 3041
表現, 3038
然而, 3002
至於, 2997
成長, 2988
誰, 2981
東西, 2975
產生, 2972
利用, 2970
家庭, 2968
均, 2960
部分, 2947
能夠, 2928
些, 2927
為了, 2927
透過, 2919
事實, 2906
規定, 2902
張, 2899
女人, 2897
組織, 2891
知, 2885
投資, 2879
同, 2874
運動, 2872
快, 2863
方法, 2861
長, 2855
經過, 2850
只有, 2842
台, 2840
成, 2830
同學, 2822
整, 2821
為什麼, 2818
錢, 2804
調查, 2804
講, 2799
內容, 2785
以後, 2783
容易, 2779
叫, 2774
媽媽, 2774
寫, 2753
開放, 2747
日, 2746
進入, 2739
起來, 2731
強調, 2730
精神, 2724
水, 2708
打, 2695
存在, 2675
美, 2666
具有, 2664
真正, 2654
不少, 2643
會議, 2641
不斷, 2629
出, 2629
受到, 2626
經, 2619
建立, 2616
難, 2608
依, 2595
例如, 2588
解決, 2577
政策, 2576
根據, 2573
基本, 2570
於是, 2567
加上, 2561
一切, 2554
成立, 2553
教授, 2552
面對, 2551
你們, 2549
別人, 2545
尤其, 2543
功能, 2539
段, 2537
討論, 2534
改變, 2523
開發, 2512
告訴, 2505
一點, 2492
感覺, 2492
獲得, 2489
參與, 2480
原因, 2472
經營, 2464
意義, 2449
這麼, 2439
合作, 2435
共同, 2435
繼續, 2433
現象, 2428
買, 2423
電影, 2419
片, 2416
隻, 2415
行為, 2413
所謂, 2411
音樂, 2398
或是, 2397
建築, 2397
昨日, 2395
您, 2391
邊, 2383
總統, 2383
主義, 2382
類, 2371
資源, 2367
努力, 2361
推動, 2356
產業, 2356
我國, 2345
最近, 2341
往, 2339
故事, 2336
事件, 2332
後來, 2329
某, 2329
事情, 2328
醫院, 2320
科學, 2317
似乎, 2314
得到, 2311
極, 2306
呀, 2289
規劃, 2286
真的, 2283
報導, 2283
中央, 2271
身體, 2253
雖, 2251
自我, 2245
銀行, 2244
校, 2243
近, 2239
配合, 2226
自由, 2218
父母, 2218
人士, 2209
語言, 2204
目標, 2204
教學, 2197
頭, 2193
嚴重, 2191
團體, 2190
幾乎, 2187
廠商, 2186
作為, 2185
具, 2184
母親, 2181
媒體, 2178
相信, 2173
安全, 2170
情形, 2162
那些, 2162
僅, 2161
路, 2160
文學, 2158
準備, 2146
成功, 2143
老, 2141
支持, 2139
建議, 2138
觀念, 2137
七, 2135
擁有, 2135
以前, 2128
變成, 2128
科技, 2127
直接, 2122
舉行, 2117
針對, 2114
標準, 2109
制度, 2099
即使, 2097
女, 2080
一起, 2074
好像, 2074
使得, 2070
形成, 2069
回, 2068
句, 2063
此外, 2058
價值, 2054
第三, 2048
香港, 2038
學, 2037
委員會, 2037
十分, 2032
不但, 2031
人民, 2016
需, 2013
部份, 2010
之外, 2008
態度, 2008
注意, 2008
治療, 2007
的話, 2004
中共, 1991
死, 1990
開, 1988
人生, 1987
行動, 1986
引起, 1984
需求, 1984
都市, 1984
訓練, 1983
男人, 1983
通過, 1979
這裡, 1978
八, 1973
早, 1968
出來, 1963
坐, 1963
父親, 1962
生產, 1962
而是, 1956
新聞, 1952
民間, 1951
放, 1949
土地, 1949
底, 1943
推出, 1939
小時, 1936
課程, 1930
言, 1928
工程, 1927
專業, 1922
現代, 1922
花, 1922
不僅, 1920
人們, 1916
本身, 1915
說明, 1914
公園, 1914
舉辦, 1913
事業, 1911
顯示, 1908
分析, 1907
清楚, 1906
並且, 1905
負責, 1898
部, 1896
低, 1892
辦法, 1888
電話, 1883
意見, 1882
１, 1882
教育部, 1871
健康, 1870
實際, 1869
壓力, 1861
聲音, 1861
值得, 1858
報告, 1858
民國, 1856
全球, 1852
考慮, 1848
口, 1839
首, 1839
超過, 1835
角色, 1834
積極, 1829
分別, 1825
條件, 1823
應用, 1823
喝, 1823
婦女, 1822
曾經, 1822
或者, 1821
品質, 1820
美元, 1816
申請, 1815
實在, 1813
終於, 1813
動物, 1809
達到, 1806
目的, 1806
少, 1802
效果, 1800
小朋友, 1794
皆, 1791
生, 1790
下午, 1788
知識, 1786
根本, 1785
站, 1782
座, 1781
字, 1780
原來, 1780
狀況, 1779
創作, 1770
同樣, 1768
屬於, 1768
結構, 1768
除, 1767
２, 1764
性, 1757
之前, 1752
執行, 1748
拿, 1748
久, 1747
不再, 1747
程度, 1746
住, 1746
行, 1741
原住民, 1739
達, 1729
變, 1727
計劃, 1726
逐漸, 1726
法, 1725
電視, 1725
敢, 1725
協助, 1723
溝通, 1718
避免, 1715
主管, 1712
學者, 1711
作業, 1708
保護, 1704
般, 1703
啦, 1703
多少, 1695
靠, 1695
台北市, 1692
塊, 1692
建設, 1686
車, 1686
據, 1685
階段, 1682
套, 1681
不可, 1679
夠, 1678
原本, 1677
改善, 1675
比賽, 1671
重新, 1670
３, 1670
爸爸, 1669
有的, 1668
